Site,Rows,MAE,RMSE,R2,MAPE_pct
BBO,8840,6727.5914411587955,9460.089479105893,0.8155194058844702,
BKN,605,25360.21382489669,31073.996551342432,0.2536464535986771,32.94205473395794
BTO,7045,4431.8204929630665,6285.56830869874,0.8995807622895713,22.59688942179742
EME,3582,4147.842877631407,5737.646905517943,0.8179273622140892,22.441189884541167
GNT,5962,1636.9487503059302,2825.6922949652967,0.8738261763603099,
HRN,605,2574.1093729823087,3246.242557248106,0.007944376818666554,47.96183029337461
LKM,4411,11319.449357547954,15889.470765352042,0.7524222600474617,
MGT,4646,5545.082951231926,7920.432384108421,0.7432595189906877,
MVB,600,18169.514876302084,24825.661212683703,0.08812968776062768,40.12375368138963
ORIC,603,949.8896807205579,1147.4667619380984,0.16273460444125754,43.293665430742465
RDP,4081,2666.4651494516447,3687.485451317969,0.916008119315474,
UDW,3109,2388.800305167195,3454.178049356197,0.838243976658227,
VBL,342,6691.900574615036,10139.22806497248,0.5754932322616295,
WMB,4874,2704.523996394231,3973.548594439022,0.8117841636922004,
