Site,Year,Month_Number,Month,Forecast_Generation_kWh,Forecast_Rainfall_mm
MVB,2026,9,Sep,915960.97265625,0.0
MVB,2026,10,Oct,3093631.0546875,0.0
MVB,2026,11,Nov,3723415.015625,0.0
MVB,2026,12,Dec,2637024.0390625,0.0
MVB,2027,1,Jan,2231727.33984375,0.0
MVB,2027,2,Feb,1737744.7421875,0.0
MVB,2027,3,Mar,2105211.32421875,0.0
MVB,2027,4,Apr,2266872.7890625,0.0
MVB,2027,5,May,2316698.859375,0.0
MVB,2027,6,Jun,1713223.59765625,0.0
MVB,2027,7,Jul,2114165.75,0.0
MVB,2027,8,Aug,1981041.16796875,0.0
MVB,2027,9,Sep,1091201.83203125,0.0
