Site,Date,Forecast_Generation_kWh,Forecast_Rainfall_mm,Forecast_Source
MVB,2026-09-16,42075.4140625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-17,40729.6640625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-18,40243.79296875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-19,39210.2578125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-20,42705.375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-21,39813.12109375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-22,53880.61328125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-23,58572.375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-24,62440.2109375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-25,87049.09375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-26,86412.265625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-27,94653.6796875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-28,85047.28125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-29,75731.2890625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-09-30,67396.5390625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-01,71603.9453125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-02,69812.2734375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-03,68777.1875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-04,73304.3203125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-05,82898.5859375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-06,108958.3125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-07,110245.2421875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-08,99568.671875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-09,119466.7421875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-10,133875.140625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-11,128553.2265625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-12,109498.0,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-13,83299.921875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-14,70335.703125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-15,73264.0234375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-16,69523.4921875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-17,68460.6171875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-18,71991.65625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-19,78092.78125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-20,69076.0,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-21,97763.90625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-22,123745.046875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-23,126515.6015625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-24,120836.125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-25,141398.28125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-26,129927.90625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-27,129397.8046875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-28,122071.171875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-29,124069.109375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-30,105814.765625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-10-31,111485.4921875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-01,119689.8359375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-02,129072.109375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-03,123306.0234375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-04,129876.3828125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-05,126206.0703125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-06,125876.8125,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-07,121958.1171875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-08,132527.46875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-09,133485.640625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-10,135730.390625,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-11,124805.7109375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-12,127290.6171875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-13,133231.359375,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-14,126331.046875,0.0,Historical monthly median rainfall + XGBoost
MVB,2026-11-15,130139.6171875,0.0,Historical monthly median rainfall + XGBoost
