Site,Forecast_Days,Forecast_Start_Date,Forecast_End_Date,Total_Forecast_Generation_kWh,Average_Daily_Generation_kWh,Maximum_Daily_Generation_kWh,Minimum_Daily_Generation_kWh,Total_Forecast_Rainfall_mm,Average_Daily_Rainfall_mm
BBO,365,2026-09-21,2027-09-20,9454173.614746094,25901.84551985231,52954.0390625,4542.791015625,3853.4,10.557260273972602
BKN,365,2026-09-21,2027-09-20,52735009.23828125,144479.4773651541,161328.734375,58823.56640625,0.0,0.0
BTO,365,2026-09-18,2027-09-17,10967738.586914062,30048.598868257704,50901.73828125,10780.1318359375,1617.0,4.4301369863013695
EME,365,2026-09-21,2027-09-20,5876102.8876953125,16098.912021083048,37510.12109375,1079.244873046875,791.0,2.1671232876712327
GNT,365,2026-09-21,2027-09-20,3679322.9653320312,10080.336891320634,19844.46875,3095.4599609375,1742.55,4.774109589041096
HRN,365,2026-09-21,2027-09-20,3410578.840576172,9344.051618016909,13980.650390625,3632.187255859375,0.0,0.0
LKM,365,2026-09-21,2027-09-20,17501629.442382812,47949.66970515839,76182.4453125,14352.1630859375,1100.91,3.016191780821918
MGT,365,2026-09-21,2027-09-20,8762194.297363281,24006.01177359803,43330.94140625,6166.52197265625,1699.2,4.655342465753424
MVB,365,2026-09-16,2027-09-15,26513322.876953125,72639.24075877569,143575.78125,27448.763671875,0.0,0.0
ORIC,365,2026-09-19,2027-09-18,1275214.091796875,3493.7372377996576,5113.6533203125,1206.2078857421875,0.0,0.0
RDP,365,2026-09-21,2027-09-20,4686593.471435547,12839.982113522046,39898.63671875,2325.446533203125,261.85,0.7173972602739727
UDW,365,2026-09-02,2027-09-01,3184740.0400009155,8725.3151780847,20209.421875,0.0,357.8,0.9802739726027397
VBL,365,2025-12-26,2026-12-25,24809509.1484375,67971.25794092465,77261.96875,46492.08203125,0.0,0.0
WMB,365,2026-09-21,2027-09-20,4706290.727600098,12893.947198904378,26558.189453125,321.5091857910156,2013.6,5.516712328767123
